ZIP,Population,Median age
03451,4034,44.9
03452,5416,46
03455,1870,44.8
03456,753,46
03457,644,50.9
03458,6707,48.8
03461,5958,28
03462,1800,46.1
03464,1086,45.1
03465,2271,39.1
03466,1052,50.6
03467,2028,47.2
03470,4780,45.6
03561,5954,45.4
03570,9710,44.1
03574,2537,43.2
03575,112,35.6
03576,3260,50.6
03579,462,57
03580,1421,53.8
03581,3139,46.8
03582,2468,44.3
03583,902,52.3
03584,3638,46.6
03585,2560,46.6
03586,600,57.4
03588,1655,50.3
03590,965,47
03592,1190,56.7
03593,433,55.7
03595,879,40.1
03597,383,58
03598,3067,48.6
03601,538,35.6
03602,2689,43.2
03603,5331,47.7
03604,444,29.3
03605,1089,45.3
03607,335,52.1
03608,2177,48.2
03609,1083,33.6
03740,689,55.2
03741,4218,46.1
03743,13904,41.6
03745,1410,49
03746,191,42.6
03748,4584,45.8
03750,1073,40.8
03751,584,57.4
03752,821,49.7
03753,2968,46.1
03754,201,25.3
03755,10430,22.8
03765,460,47.2
03766,9345,41.3
03768,1733,48.3
03770,585,33.8
03771,877,49.3
03773,7506,46.7
03774,1710,46.7
03777,1572,40.4
03779,754,50.5
03780,412,40.2
03781,1933,47.8
03782,2928,47.2
03784,3999,35.7
03785,2794,41.1
03801,22166,41.7
03809,3554,44.5
03810,1716,46.3
03811,6788,47.2
03812,678,58.1
03813,3471,42.4
03814,2413,45.3
03816,1252,44.3
03817,563,52.5
03818,3583,46
03819,4423,41.1
03820,30352,36.6
03823,1983,35.9
03824,15180,20.7
03825,8593,43.3
03826,2582,45.4
03827,3229,45.8
03830,1925,51
03832,348,59.8
03833,21139,43.9
03835,6824,40.8
03836,1195,54.6
03837,1605,41.3
03838,994,58.2
03839,3955,35.8
03840,3799,43.9
03841,6126,47.1
03842,14998,48.6
03844,2312,44.6
03845,1163,41.4
03846,1027,50.8
03847,245,51.7
03848,6060,45.4
03849,1395,42.1
03850,267,61.3
03851,3937,40.2
03852,655,42.4
03853,737,41.8
03854,980,55.9
03855,2648,45.6
03856,1625,42.5
03857,8989,35.9
03858,4717,38.5
03860,4130,44.6
03861,4357,41.7
03862,4344,50.2
03864,1543,41.1
03865,7614,44.1
03867,20521,41.7
03868,5505,46.2
03869,2466,39.6
03870,5292,50.6
03871,23,
03872,3470,51.4
03873,5926,39.3
03874,8817,48.7
03875,1093,54.8
03878,11827,35.1
03882,1362,46.9
03883,98,58.2
03884,4017,45
03885,7172,45.2
03886,2162,53.1
03887,2004,40.8
03890,345,49.8
03894,6231,55.8
03901,7408,38.1
03902,2285,53.4
03903,6234,43.9
03904,8023,45
03905,1550,59
03906,4643,41.3
03907,1141,59.9
03908,7276,38.3
03909,9792,49
03910,475,43.2
03911,109,54
04001,2495,46.3
04002,7407,46.1
04003,468,58.7
04005,23153,36.1
04006,139,27.3
04008,2866,43.1
04009,5227,44.3
04010,1261,49.3
04011,20329,45.1
04015,3862,42.2
04017,431,61.3
04019,0,
04020,1383,42.8
04021,5977,42.8
04022,1210,44.5
04024,601,43.1
04027,6077,39.7
04029,1603,51.1
04030,2626,41.8
04032,8049,44.6
04037,3826,47.2
04038,16677,38.6
04039,7539,37.3
04040,3127,53
04041,1711,42.7
04042,4343,45.6
04043,10972,49.5
04046,7610,45.8
04047,1658,48.1
04048,3000,32.3
04049,3639,43.3
04050,239,57.6
04051,1175,50.6
04055,3788,45.5
04056,250,36.6
04057,41,19.8
04061,3259,35.7
04062,17300,38
04063,315,67.2
04064,8364,49.4
04066,463,66.8
04068,1774,40.5
04069,1492,43.4
04071,4895,47.1
04072,18757,42.3
04073,16327,39.5
04074,19096,44.4
04076,2678,45.8
04079,3849,54.6
04083,4485,40.8
04084,7880,41.4
04085,2062,45
04086,8728,44.8
04087,1862,37.2
04088,1537,49.6
04090,9783,51.1
04091,910,41.6
04092,17662,42
04093,8079,43.4
04095,1337,47.8
04096,8433,45.6
04097,3646,43.5
04101,16956,32.8
04102,18118,34.6
04103,30211,39.9
04105,11424,47.6
04106,25377,40.8
04107,8983,49.6
04108,913,53.9
04109,119,33.9
04110,1361,47.3
04210,22960,40.2
04216,360,56.8
04217,2921,45.1
04219,1477,48.3
04220,3232,40.4
04221,1169,41.2
04222,3879,43.6
04224,2954,43.3
04226,159,53.3
04227,57,57.9
04228,80,41.5
04231,291,50.3
04234,131,10.3
04236,4349,40.7
04237,155,53.9
04238,1643,35
04239,4827,42.8
04240,36410,39.2
04250,4146,41.4
04252,4790,38.6
04253,2055,45.5
04254,3082,37.4
04255,910,43.7
04256,2980,39.4
04257,2648,47.7
04258,2610,42.3
04259,3111,44.7
04260,5590,43
04261,393,51.1
04263,2010,41.6
04265,993,39.7
04267,59,28.6
04268,4984,45.1
04270,6210,44.6
04271,0,
04274,5455,39.3
04275,426,52.8
04276,5770,44.4
04280,6927,39.1
04281,5141,46.1
04282,5737,43.4
04284,1022,54.1
04285,490,58
04286,144,57.5
04287,3093,42.6
04289,1808,41.4
04290,1339,50
04292,1103,42.9
04294,4155,44.1
04330,25827,42.7
04342,1740,46.9
04343,96,51.4
04344,2813,43.7
04345,11455,45.3
04346,1837,44.3
04347,2439,50.6
04348,2968,47.7
04349,1158,50.1
04350,3602,44.3
04351,2567,47.2
04352,1656,45.3
04353,2336,46.8
04354,1534,46.2
04355,2567,46.2
04357,3391,45.9
04358,4248,43.3
04359,530,46.8
04360,549,51.1
04363,2576,41.4
04364,5950,44.8
04401,44972,37.3
04406,717,49.9
04408,195,45.2
04410,1114,42.4
04411,1420,48.7
04412,9391,41.8
04413,161,57.1
04414,1085,52.3
04415,232,40.9
04416,5507,42.2
04417,258,58.3
04418,1643,40.1
04419,2794,38.1
04421,1425,21.5
04422,1275,38.9
04424,740,50.2
04426,4548,49.7
04427,2810,42
04428,3300,44.3
04429,4596,45.1
04430,1830,47.2
04431,41,65.7
04434,1299,46.3
04435,1012,48.6
04438,1202,41.5
04441,2117,49.7
04442,56,68.3
04443,2406,47.3
04444,8800,42.3
04448,1539,45.7
04449,1434,43.1
04450,1329,42.9
04451,165,58.9
04453,751,48.3
04454,40,59.1
04455,1268,41.9
04456,2902,43.1
04457,5859,41.7
04459,828,50.6
04460,1238,47
04461,3054,45.3
04462,4778,48.6
04463,2805,45.7
04464,648,54.7
04468,9410,33.4
04469,2666,19.4
04471,608,53.3
04472,2085,49
04473,7849,26.2
04474,3721,48.1
04475,463,47.8
04476,1153,53.7
04478,296,57.7
04479,1428,50
04481,568,51.1
04485,291,47.1
04487,935,48.8
04488,1237,41.6
04489,351,35.5
04490,242,50.5
04491,111,53.8
04492,174,51.5
04493,2050,44.6
04495,508,49.4
04496,3771,41.8
04497,410,49.8
04530,10937,42.9
04535,650,48.3
04537,2145,45.6
04538,1957,57.8
04539,1165,54.4
04541,152,46.3
04543,2001,49.5
04544,597,62.7
04547,1057,54.5
04548,1050,51.1
04551,894,47.5
04553,1775,46.7
04554,745,65.8
04555,1702,47.3
04556,1154,49.9
04558,243,63.2
04562,1983,53.9
04563,1415,38.8
04564,433,57.5
04568,459,63.1
04570,0,
04571,360,55.2
04572,5035,40
04573,493,50.3
04574,1447,47.6
04575,54,68.3
04576,622,63.8
04578,4518,43.8
04579,3054,45.8
04605,13064,46.2
04606,1170,48.8
04607,1218,43
04609,5269,45.9
04611,485,50.5
04612,588,36.5
04613,184,41.5
04614,2440,52.9
04616,858,57.1
04617,812,53.3
04619,3063,47.8
04622,1414,47.1
04623,1398,36.2
04624,124,61.2
04625,36,71.5
04626,468,37.4
04627,1642,51.9
04628,645,48.2
04629,240,64.1
04630,1381,40.3
04631,1414,56.1
04634,1850,44.7
04635,79,17.6
04637,146,65.4
04640,2092,46.8
04642,73,63.4
04643,1022,45.6
04644,0,
04645,61,31.8
04646,87,46.3
04648,495,42.9
04649,1239,50.7
04650,151,62.1
04652,1943,52.8
04653,484,53.2
04654,3280,41.3
04655,1185,46.8
04657,289,57.4
04658,1409,50.9
04660,1268,55
04662,529,60.2
04664,1083,48.6
04666,1160,49.1
04667,1612,38.9
04668,1650,38.3
04669,152,64.1
04671,533,52.3
04673,106,40.7
04674,692,38.4
04675,377,54.5
04676,1031,47.4
04677,285,55.3
04679,1976,47.3
04680,1017,44.5
04681,1312,47.9
04683,60,22.5
04684,1666,45.6
04685,302,44.2
04686,77,65.5
04691,462,45.9
04693,475,51.6
04694,2205,47.7
04730,9992,45.3
04732,1823,44.8
04733,314,54.4
04734,863,41.3
04735,618,47.8
04736,9672,43.8
04739,947,53.2
04740,1198,42.7
04741,0,
04742,3447,41.1
04743,4650,43.1
04745,1024,51.4
04746,488,53
04747,1456,48.7
04750,2315,37.9
04756,3346,54.3
04757,2843,42.5
04758,1487,47.2
04760,665,45.1
04761,451,55.9
04762,625,48.8
04763,677,48.7
04764,48,69.3
04765,1264,51.5
04766,454,40.4
04768,450,55.9
04769,9494,43.7
04772,653,55.7
04773,650,46.9
04774,618,55.3
04776,902,52.1
04777,419,44.4
04779,284,65
04780,734,38.7
04781,487,54.5
04783,380,56.1
04785,2775,48.4
04786,1869,45.6
04787,680,49.4
04841,7241,46.4
04843,4839,54.7
04847,1651,43.3
04848,643,58.7
04849,3761,49.6
04851,47,47.1
04852,39,34.8
04853,410,50
04854,1669,50.7
04855,341,50
04856,3338,46.1
04858,1477,43.7
04859,424,61.9
04860,1850,50.9
04861,2768,49.4
04862,3576,46.5
04863,1327,45.8
04864,4715,39.1
04901,26291,40.2
04910,1825,43.4
04911,2067,42.5
04912,1066,40.8
04915,8791,44.9
04917,2914,44
04918,257,60.1
04920,1796,48.6
04921,1543,38.6
04922,1166,46.2
04923,523,50.5
04924,2199,45
04925,107,45.1
04926,48,9.4
04927,3426,42.1
04928,1954,45.6
04929,935,42.5
04930,4227,48.3
04932,1203,45
04933,78,14.5
04936,146,66.5
04937,6464,41.5
04938,9718,40.4
04939,1227,42.7
04940,31,
04941,1468,48.8
04942,1143,50.1
04943,1840,47.2
04944,60,
04945,1071,48.6
04947,1656,50.8
04949,721,51.5
04950,4791,44.2
04951,931,47.8
04952,1915,43.3
04953,3185,46.2
04955,1332,45
04956,654,51.1
04957,4265,48.4
04958,2045,46.2
04961,954,54
04962,276,21.9
04963,7372,46.7
04964,172,59.6
04965,2066,43.3
04966,1758,47
04967,4196,42
04969,1293,45
04970,1655,51.9
04971,1960,41.2
04973,1637,40.6
04974,2639,46.2
04975,131,66.4
04976,9769,44.3
04978,775,48.5
04979,1053,47.6
04981,2123,50.3
04982,518,43
04983,1643,40
04984,599,47.9
04985,75,55.5
04986,1636,41.9
04987,924,42.3
04988,2540,29
04989,4061,40.3
04992,346,22.8
05001,9241,42.6
05031,128,61.6
05032,2600,45.3
05033,2729,36.5
05034,250,56.1
05035,524,52.9
05036,1048,47.8
05037,514,49.7
05038,1427,43.7
05039,996,49.4
05040,573,35.6
05041,383,28.8
05042,475,42.4
05043,714,45.9
05045,2009,45.7
05046,1118,43.1
05048,2372,46.6
05050,142,42.5
05051,1512,47.6
05052,202,42.3
05053,417,54.6
05055,3374,44.8
05056,401,50.4
05058,282,36.9
05059,719,35.9
05060,4602,46.7
05061,1478,35.1
05062,755,42.9
05065,1044,41.5
05067,267,59.4
05068,3097,39
05069,617,51.7
05070,443,54.2
